Brand,processor_brand,processor_series,processor_tier,ram,storage,screen_size,display_type,display,graphics,prices
Lenovo,Intel,Core Ultra,7,32,1TB,16,WQXGA, 16 Inch (40.64 cm) WQXGA OLED Display, 8GB-NVIDIA GeForce RTX 5060 Graphics,"2,14,999"
Dell,Intel,Core,7,16,1TB,16,WQXGA, 16 Inch (40.64 cm) WQXGA Display, 8GB-NVIDIA GeForce RTX 5060 Graphics,"1,59,990"
Acer,AMD,Ryzen,3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"52,599"
Samsung,Intel,Core Ultra,7,16,512GB,16,WUXGA, 16 Inch (40.62 cm) WUXGA Display with Touchscreen, Intel Graphics,"1,31,990"
Samsung,Intel,Core Ultra,5,16,512GB,16,WUXGA, 16 Inch (40.62 cm) WUXGA Display with Touchscreen, Intel Graphics,"1,23,990"
Samsung,Intel,Core Ultra,7,16,512GB,16,WUXGA, 16 Inch (40.62 cm) WUXGA Anti-Glare Display, Intel Graphics,"1,27,990"
Samsung,Intel,Core Ultra,7,16,512GB,14,WUXGA, 14 Inch (35.56 cm) WUXGA Anti-Glare Display, Intel Graphics,"1,24,990"
Samsung,Intel,Core Ultra,5,16,512GB,14,WUXGA, 14 Inch (35.56 cm) WUXGA Anti-Glare Display, Intel Graphics,"1,12,990"
Lenovo,Intel,Core i,i7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,23,999"
Lenovo,Intel,Core i,i5,16,512GB,15.3,WUXGA, 15.3 Inch (38.86 cm) WUXGA Display, Intel UHD Graphics,"71,499"
Lenovo,Intel,Core i,i7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"1,21,999"
Lenovo,AMD,Ryzen,7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"97,499"
Asus,Intel,Core,3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"53,990"
Asus,Intel,Core Ultra,5,16,512GB,14,FHD+, 14 Inch (35.56 cm) FHD+ Display, Intel Arc Graphics,"81,990"
HP,Intel,Core,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"69,599"
HP,Intel,Core Ultra,7,24,1TB,16,, 16 Inch (40.62 cm) diagonal 2K Display, 8GB-NVIDIA GeForce RTX 5060 Graphics,"1,54,999"
Asus,Intel,Core Ultra,9,32,1TB,14,FHD+, 14 Inch (35.56 cm) FHD+ Display with Touchscreen, Intel Arc Graphics,"1,45,990"
Asus,AMD,Ryzen,7,16,512GB,16,WQXGA, 16 Inch (40.62 cm) WQXGA Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"1,08,990"
Asus,AMD,Ryzen AI,5,16,512GB,14,FHD+, 14 Inch (35.56 cm) FHD+ Display, AMD Radeon Graphics,"61,990"
HP,Intel,Core Ultra,7,24,1TB,14,FHD, 14 Inch (35.56 cm) FHD Display, Intel Graphics,"89,999"
HP,Intel,Core,5,24,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"94,426"
Samsung,Intel,Core Ultra,7,32,1TB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Display with Touchscreen, Intel Arc B390 Graphics,"2,91,190"
Samsung,Intel,Core Ultra,7,32,1TB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Display with Touchscreen, Intel Graphics,"2,04,990"
Samsung,Intel,Core Ultra,7,16,512GB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Display with Touchscreen, Intel Graphics,"1,78,990"
Lenovo,Intel,Core i,i7,16,512GB,15.3,WUXGA, 15.3 Inch (38.86 cm) WUXGA Anti-glare Display, Intel UHD Graphics,"78,999"
Dell,Intel,Core,3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"49,999"
HP,AMD,Ryzen,5,16,512GB,14,FHD, 14 Inch (35.56 cm) FHD Display, AMD Radeon 610M Graphics,"51,999"
Dell,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"84,999"
Acer,Intel,Core,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel UHD Graphics,"60,599"
Lenovo,Intel,Core Ultra,7,32,1TB,16,WQXGA, 16 Inch (40.64 cm) WQXGA OLED Display, 8GB-NVIDIA GeForce RTX 5060 Graphics,"2,14,999"
Dell,Intel,Core,7,16,1TB,16,WQXGA, 16 Inch (40.64 cm) WQXGA Display, 8GB-NVIDIA GeForce RTX 5060 Graphics,"1,59,990"
Acer,AMD,Ryzen,3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"52,599"
Samsung,Intel,Core Ultra,7,16,512GB,16,WUXGA, 16 Inch (40.62 cm) WUXGA Display with Touchscreen, Intel Graphics,"1,31,990"
Samsung,Intel,Core Ultra,5,16,512GB,16,WUXGA, 16 Inch (40.62 cm) WUXGA Display with Touchscreen, Intel Graphics,"1,23,990"
Samsung,Intel,Core Ultra,7,16,512GB,16,WUXGA, 16 Inch (40.62 cm) WUXGA Anti-Glare Display, Intel Graphics,"1,27,990"
Samsung,Intel,Core Ultra,7,16,512GB,14,WUXGA, 14 Inch (35.56 cm) WUXGA Anti-Glare Display, Intel Graphics,"1,24,990"
Samsung,Intel,Core Ultra,5,16,512GB,14,WUXGA, 14 Inch (35.56 cm) WUXGA Anti-Glare Display, Intel Graphics,"1,12,990"
Lenovo,Intel,Core i,i7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,23,999"
Lenovo,Intel,Core i,i5,16,512GB,15.3,WUXGA, 15.3 Inch (38.86 cm) WUXGA Display, Intel UHD Graphics,"71,499"
Lenovo,Intel,Core i,i7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"1,21,999"
Lenovo,AMD,Ryzen,7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"97,499"
Asus,Intel,Core,3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"53,990"
Asus,Intel,Core Ultra,5,16,512GB,14,FHD+, 14 Inch (35.56 cm) FHD+ Display, Intel Arc Graphics,"81,990"
HP,Intel,Core,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"69,599"
HP,Intel,Core Ultra,7,24,1TB,16,, 16 Inch (40.62 cm) diagonal 2K Display, 8GB-NVIDIA GeForce RTX 5060 Graphics,"1,54,999"
Asus,Intel,Core Ultra,9,32,1TB,14,FHD+, 14 Inch (35.56 cm) FHD+ Display with Touchscreen, Intel Arc Graphics,"1,45,990"
Asus,AMD,Ryzen,7,16,512GB,16,WQXGA, 16 Inch (40.62 cm) WQXGA Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"1,08,990"
Asus,AMD,Ryzen AI,5,16,512GB,14,FHD+, 14 Inch (35.56 cm) FHD+ Display, AMD Radeon Graphics,"61,990"
HP,Intel,Core Ultra,7,24,1TB,14,FHD, 14 Inch (35.56 cm) FHD Display, Intel Graphics,"89,999"
HP,Intel,Core,5,24,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"94,426"
Samsung,Intel,Core Ultra,7,32,1TB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Display with Touchscreen, Intel Arc B390 Graphics,"2,91,190"
Samsung,Intel,Core Ultra,7,32,1TB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Display with Touchscreen, Intel Graphics,"2,04,990"
Samsung,Intel,Core Ultra,7,16,512GB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Display with Touchscreen, Intel Graphics,"1,78,990"
Lenovo,Intel,Core i,i7,16,512GB,15.3,WUXGA, 15.3 Inch (38.86 cm) WUXGA Anti-glare Display, Intel UHD Graphics,"78,999"
Dell,Intel,Core,3,8,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"49,999"
HP,AMD,Ryzen,5,16,512GB,14,FHD, 14 Inch (35.56 cm) FHD Display, AMD Radeon 610M Graphics,"51,999"
Dell,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"84,999"
Acer,Intel,Core,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel UHD Graphics,"60,599"
Asus,AMD,Ryzen,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"48,990"
HP,AMD,Ryzen,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"54,999"
HP,Intel,Core,5,24,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"68,499"
Lenovo,Intel,Core i,i7,16,1TB,15.6,Full HD, 15.6 Inch Full HD IPS Display, 8GB NVIDIA GeForce RTX 5060 Graphics,"1,54,999"
Lenovo,AMD,Ryzen,7,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 8GB NVIDIA GeForce RTX 5060 Graphics,"1,39,999"
HP,AMD,Ryzen,3,8,512GB,15.6,Full HD, 15.6 Inch (39.6 cm) Inch Full HD Display, AMD Radeon Graphics,"48,499"
HP,Intel,Core i,i3,8,512GB,15.6,Full HD, 15.6 Inch Full HD IPS Display, Integrated Intel UHD Graphics GPU,"57,999"
Dell,Intel,Core,3,8,512GB,15.6,, 15.6 inch (39.62 cm) Display, Intel UHD Graphics,"49,990"
HP,Intel,Core,3,24,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"52,990"
HP,Intel,Core,5,16,512GB,14,FHD, 14 Inch (35.6 cm) FHD Display, Intel Iris Xe Graphics,"63,990"
Dell,Intel,Core Ultra,7,16,512GB,14,, 14 Inch (35.56 cm) 2.5K Display, Intel Arc Graphics,"1,01,999"
Lenovo,Intel,Core i,i5,16,512GB,15.3,WUXGA, 15.3 Inch (38.86 cm) WUXGA Display, Intel UHD Graphics,"72,999"
ASUS,AMD,Ryzen,9,16,1TB,16,FHD+, 16 Inch (40.64 cm) FHD+ Display, NVIDIA GeForce RTX 5050 Graphics,"1,73,990"
Lenovo,AMD,Ryzen,5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, Integrated AMD Radeon 610M GPU,"53,999"
HP,AMD,Ryzen,7,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"91,499"
Dell,Intel,Core i,i5,16,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD IPS Display, Intel UHD Graphics,"74,999"
HP,Intel,Core Ultra,5,24,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Arc Graphics,"77,499"
ASUS,Intel,Core,5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, Intel Graphics GPU,"68,990"
HP,Intel,Core i,i5,24,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"89,999"
ASUS,Intel,Core,5,16,512GB,16,Full HD, 16 Inch (40.6 cm) Full HD Display, NVIDIA GeForce RTX 3050 6GB GDDR6 GPU,"88,990"
HP,AMD,Ryzen,7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"85,499"
Dell,Intel,Core Ultra,5,16,512GB,14,FHD+, 14 Inch (35.6 cm) FHD+ Display, Intel Arc Graphics,"99,990"
Dell,Intel,Core Ultra,5,16,512GB,14,, 14 Inch (35.56 cm) 2.5K Display, Intel Arc Graphics,"86,999"
Acer,Intel,Core i,i5,16,512GB,16,WUXGA, 16 Inch (40.64 cm) WUXGA Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"86,999"
Acer,Intel,Core i,i7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD IPS Display, 8GB-NVIDIA GeForce RTX 5060 Graphics,"1,12,599"
Asus,Intel,Core,5,16,512GB,16,FHD+, 16 Inch (40.64 cm) FHD+ Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"1,04,990"
Lenovo,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch Full HD 144Hz IPS Display, NVIDIA GeForce RTX 4050 6GB GPU,"1,10,999"
HP,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 4050 Graphics,"84,990"
HP,AMD,Ryzen,3,8,512GB,15.6,, 15.6 inch (39.62 cm) Display, Windows 11 Home,"45,499"
Dell,Intel,Core i,i3,16,512GB,15.6,, 15.6 inch (39.62 cm) Display, Intel UHD Graphics,"56,990"
Lenovo,AMD,Ryzen,7,16,1TB,15.3,WQXGA, 15.3 Inch (38.86 cm) WQXGA 165Hz IPS Display, NVIDIA GeForce RTX 5060 8GB GPU,"1,79,999"
HP,Intel,Core,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"66,499"
HP,Intel,Core Ultra,5,16,1TB,14,OLED," 14 Inch (35.56 cm) diagonal, 3K OLED Display", Intel Arc 130T GPU,"99,999"
ASUS,AMD,Ryzen,9,16,1TB,16,FHD+, 16 Inch (40.64 cm) FHD+ Display, NVIDIA GeForce RTX 5050 GPU,"1,73,990"
HP,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"79,990"
Lenovo,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 4GB-NVIDIA GeForce RTX 3050A Graphics,"78,499"
HP,AMD,Ryzen,7,24,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,09,999"
HP,Intel,Core Ultra,7,16,512GB,14,Full HD, 14 Inch (35.6 cm) Full HD Display, Intel Arc Graphics,"79,999"
HP,AMD,Ryzen,7,16,512GB,15.6,Full HD, 15.6 Inch (39.6 cm) Full HD Display, AMD Radeon 680M Graphics,"61,990"
Dell,AMD,Ryzen,5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, AMD Radeon Graphics,"54,990"
Samsung,Intel,Core Ultra,7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel Graphics,"94,990"
Acer,Intel,Core Ultra,7,16,1TB,16,OLED, 16 Inch (40.64 cm) OLED Display, 8GB-NVIDIA GeForce RTX 5060 Graphics,"1,74,990"
Acer,Intel,Core i,i7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD IPS Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,12,999"
Dell,AMD,Ryzen AI,5,16,512GB,16,, 16 Inch (40.64 cm) 2K Anti-Glare Display, AMD Radeon™ Graphics,"72,950"
ASUS,AMD,Ryzen,7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 4GB-NVIDIA GeForce RTX 3050 Graphics,"78,990"
Dell,AMD,Ryzen AI,5,16,512GB,14,, 14 inch (35.56 cm) Display, AMD Radeon Graphics,"75,490"
Dell,Intel,Core i,i5,16,512GB,15.6,, 15.6 inch (39.62 cm) Display, Intel UHD Graphics,"70,490"
Lenovo,Intel,Core Ultra,7,32,1TB,14,OLED, 14 Inch (35.56 cm) OLED Display, Intel Arc Graphics ,"1,07,999"
HP,AMD,Ryzen,7,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 4GB-NVIDIA GeForce RTX 2050 Graphics,"67,499"
HP,Intel,Core i,i7,24,1TB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,19,990"
HP,AMD,Ryzen,7,16,512GB,15.6,Full HD, 15.6 Inch (39.6 cm) 144 Hz Full HD IPS Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"78,990"
HP,Intel,Core,5,16,512GB,15.6,Full HD, 15.6 Inch (39.6 cm) Full HD Display, Intel UHD Graphics,"64,999"
Lenovo,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.6 cm) Full HD Display, 6GB-NVIDIA GeForce RTX 3050 Graphics,"99,999"
HP,AMD,Ryzen AI,5,16,512GB,14,FHD, 14 Inch (35.6 cm) FHD Display, AMD Radeon 840M Graphics,"60,999"
Acer,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.62 cm) FHD Display, Intel UHD Graphics,"63,999"
ASUS,Intel,Core i,i7,16,1TB,16,, 16 Inch (40.64 cm) 2.5k ROG Nebula Display, 8GB NVIDIA GeForce RTX 5050 Graphics,"1,91,990"
Acer,Intel,Core i,i7,16,1TB,16,WQXGA, 16 Inch (40.64) WQXGA LED Backlit IPS Display, 8GB NVIDIA GeForce RTX 4070 Graphics,"1,81,990"
HP,Intel,Core i,i5,16,512GB,15.6,FHD, 15.6 Inch (39.6 cm) FHD IPS Display, 4GB-NVIDIA GeForce RTX 3050 Graphics,"74,499"
Lenovo,Intel,Core Ultra,5,16,512GB,14,OLED, 14 Inch (35.56 cm) OLED 10-point Multi-touch Display, Intel Arc Graphics,"99,999"
Lenovo,AMD,Ryzen,7,16,512GB,15.6,, 15.6 Inch (39.62 cm) Display, AMD Radeon™ Graphics,"67,499"
Lenovo,Intel,Core i,i7,16,512GB,15.3,WUXGA, 15.3 Inch (38.86 cm) WUXGA Display, Intel UHD Graphics,"80,999"
ASUS,Intel,Core Ultra,5,16,512GB,14,WUXGA, 14 Inch (35.56cm) WUXGA Display, Intel AI Boost NPU up to 13TOPS,"85,990"
MSI,Intel,Core i,i5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, Intel Iris Xe Graphics,"55,990"
MSI,AMD,Ryzen,7,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, AMD Radeon Graphics,"59,990"
MSI,AMD,Ryzen,9,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, NVIDIA GeForce RTX 4060 8GB Graphics,"1,34,990"
ASUS,Intel,Core Ultra,7,32,1TB,14,OLED, 14 Inch (35.56 cm) Touch Screen 3K OLED Display, Intel® Arc™ Graphics,"1,35,990"
ASUS,Intel,Core i,i7,16,1TB,16,FHD+, 16 Inch (40.64 cm) FHD+ Display, NVIDIA RTX 5060 8GB Graphics,"1,73,990"
ASUS,AMD,Ryzen,9,16,1TB,16,, 16 Inch (40.64 cm) 2.5k ROG Nebula Display, NVIDIA RTX 5060 8GB Graphics,"1,99,990"
ASUS,Intel,Core Ultra,9,16,1TB,16,, 16 Inch (40.64 cm) 2.5k ROG Nebula Display, NVIDIA RTX 5060 8GB Graphics,"2,27,990"
ASUS,Intel,Core Ultra,9,32,1TB,16,, 16 Inch (40.64 cm) 2.5k ROG Nebula Display, NVIDIA RTX 5070 8GB Graphics,"2,75,990"
Acer,AMD,Ryzen,5,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, AMD Radeon Graphics,"56,999"
Acer,Intel,Core i,i7,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, 6GB NVIDIA GeForce RTX 3050 Graphics,"75,990"
Acer,AMD,Ryzen,7,16,512GB,15.6,Full HD, 15.6 Inch (39.62 cm) Full HD Display, AMD Radeon Graphics,"64,999"
Samsung,Intel,Core,5,16,512GB,15.6,, 15.6 Inch (39.62 cm) Display, Intel Iris Xe Graphics,"84,990"
Lenovo,AMD,Ryzen,7,16,512GB,13.3,WUXGA, 13.3 Inch (33.78 cm) WUXGA IPS Display, AMD Radeon Graphics,"77,999"
Lenovo,Intel,Core i,i5,16,512GB,15.3,WUXGA, 15.3 Inch (38.86 cm) WUXGA IPS Display, Intel UHD Graphics,"68,999"
ASUS,AMD,Ryzen,5,8,512GB,14,FHD, 14 Inch (35.56 cm) FHD Display, AMD Radeon Graphics,"46,990"
ASUS,Intel,Core i,i5,16,512GB,16,WUXGA, 16 Inch (40.64 cm) WUXGA Display, Intel UHD Graphics,"68,990"
ASUS,Intel,Core Ultra,9,32,2TB,16,WQXGA, 16 Inch (40.64 cm) 2.5K WQXGA Display, 16GB-NVIDIA GeForce RTX 5080 Graphics,"3,99,990"
ASUS,Intel,Core Ultra,9,32,1TB,16,WQXGA, 16 Inch (40.64 cm) 2.5K WQXGA Display, 12GB-NVIDIA GeForce RTX 5070 Ti Graphics,"2,79,990"
ASUS,Intel,Core Ultra,9,32,2TB,16,WQXGA, 16 Inch (40.64 cm) 2.5K WQXGA Display, 16GB-NVIDIA GeForce RTX 5080 Graphics,"3,59,990"
HP,AMD,Ryzen AI,7,16,512GB,13.3,WQXGA, 13.3 Inch (33.78 cm) diagonal WQXGA Display, AMD Radeon 860M Graphics,"85,990"
HP,Intel,Core Ultra,5,16,512GB,14,OLED, 14 Inch (35.56 cm) diagonal 3K OLED Touchscreen Display, Intel Arc Graphics,"1,20,000"
HP,Intel,Core i,i5,16,512GB,14,, 14 inch (35.56 cm), Intel® Iris® Xe Graphics,"74,999"
Samsung,Intel,Core Ultra,7,16,512GB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Dynamic AMOLED 2X Display, Intel ARC Graphics,"1,39,990"
Samsung,Intel,Core Ultra,5,16,512GB,14,WQXGA, 14 Inch (35.56 cm) WQXGA+ Dynamic AMOLED 2X Display, Intel ARC Graphics,"1,31,990"
Samsung,Intel,Core Ultra,5,16,512GB,15.6,FHD, 15.6 Inch (39.62cm) FHD AMOLED Display, Intel ARC Graphics,"1,14,990"
Samsung,Intel,Core Ultra,7,16,512GB,15.6,FHD, 15.6 Inch (39.62cm) FHD AMOLED Display, Intel ARC Graphics,"1,22,990"
Samsung,Intel,Core i,i5,16,512GB,13.3,FHD, 13.3 Inch (33.78cm) FHD AMOLED Display, Intel Iris Xe Graphics,"1,04,990"
Lenovo,Intel,Core i,i5,16,512GB,15.6,, 15.6 Inch (39.62 cm), 6GB RTX™ 3050 Graphics,"88,999"
Acer,Intel,Core Ultra,5,16,512GB,14,OLED, 14 Inch (35.56 cm) OLED Display, Intel ARC Graphics,"85,990"
ASUS,Intel,Core Ultra,5,16,1TB,14,OLED, 14 Inch (35.56 cm) OLED Display, Intel Arc Graphics,"1,25,990"
ASUS,Intel,Core Ultra,5,16,512GB,16,WUXGA, 16 Inch (40.64 cm) WUXGA Display, Intel Graphics,"77,990"
Dell,Intel,Core Ultra,7,16,1TB,14,, 14 Inch (35.56 cm) Display, Intel Arc Graphics,"97,990"
Dell,Intel,Core Ultra,7,16,1TB,14,, 14 inch (35.56 cm), Intel? Arc? Graphics,"97,990"
HP,Intel,Core,7,24,1TB,16,, 16 Inch (40.6 cm) diagonal 2K Display, 8GB-NVIDIA GeForce RTX 5050 Graphics,"1,37,999"
Apple,Apple,A18 Pro,,8,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"73,490"
Apple,Apple,A18 Pro,,8,256GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"66,490"
Apple,Apple,A18 Pro,,8,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"73,490"
Apple,Apple,A18 Pro,,8,256GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"66,490"
Apple,Apple,A18 Pro,,8,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"73,490"
Apple,Apple,A18 Pro,,8,512GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"73,490"
Apple,Apple,A18 Pro,,8,256GB,13,Liquid Retina, 13 Inch Liquid Retina Display, 6‑core CPU and 5‑core GPU,"66,490"
